Year, papers, proceedings papers, arxiv papers, journal papers
1976, 2, 1, 0, 1
1977, 1, 1, 0, 0
1978, 2, 1, 0, 1
1979, 3, 2, 0, 1
1980, 1, 0, 0, 1
1981, 2, 1, 0, 1
1982, 2, 1, 0, 1
1983, 2, 1, 0, 1
1984, 0, 0, 0, 0
1985, 2, 1, 0, 1
1986, 7, 2, 0, 5
1987, 2, 1, 0, 1
1988, 2, 1, 0, 1
1989, 1, 0, 0, 1
1990, 4, 2, 0, 2
1991, 5, 3, 0, 2
1992, 25, 23, 0, 2
1993, 19, 19, 0, 0
1994, 29, 27, 0, 2
1995, 34, 33, 0, 1
1996, 39, 36, 0, 3
1997, 43, 39, 0, 4
1998, 59, 55, 0, 4
1999, 49, 39, 0, 10
2000, 94, 84, 0, 10
2001, 73, 65, 0, 8
2002, 81, 78, 0, 3
2003, 93, 83, 0, 10
2004, 125, 113, 1, 11
2005, 147, 115, 6, 26
2006, 120, 104, 6, 10
2007, 106, 75, 8, 23
2008, 133, 94, 26, 13
2009, 189, 127, 41, 21
2010, 229, 177, 36, 16
2011, 294, 193, 77, 24
2012, 280, 163, 82, 35
2013, 291, 160, 99, 32
2014, 342, 162, 106, 74
2015, 304, 173, 101, 30
2016, 331, 154, 118, 59
2017, 304, 151, 114, 39
2018, 395, 164, 195, 36
2019, 481, 174, 258, 47
2020, 441, 161, 211, 67
2021, 325, 136, 152, 36
2022, 225, 147, 38, 40
2023, 95, 82, 0, 13
